place_name,full_url,service_name,service_attribue
Restos du Coeur - Centre dactivités de Noisy-le-Grand,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-grand-2372',Vêtements,
Restos du Coeur - Centre dactivités de Noisy-le-Sec,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-sec-2373',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Pantin,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-pantin-2374',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Pierrefitte,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-pierrefitte-sur-seine-2376',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Saint-Denis,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-saint-denis-2378',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Saint-Ouen,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-saint-ouen-2379',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Stains,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-stains-2380',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Tremblay-en-France,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-tremblay-en-france-2381',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Villepinte,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-villepinte-2383',Colis alimentaire,Épicerie sociale et solidaire
Le Pôle Social,'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384',Douche,Accueil de jour
Le Pôle Social,'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384',Conseil administratif,Conseil budget
Restos du Coeur - Centre dactivités du Bourget,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-paris-2385',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Neuilly-sur-Marne,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-neuilly-sur-marne-2386',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Montreuil,'https://soliguide.fr/fr/fiche/les-restos-du-coeur-de-montreuil-2388',Vêtements,Boutique Solidaire
Restos du Coeur - Centre dactivités de Montreuil,'https://soliguide.fr/fr/fiche/les-restos-du-coeur-de-montreuil-2388',Colis alimentaire,Panier alimentaire
Restos du Coeur - Centre dactivités de Montreuil,'https://soliguide.fr/fr/fiche/les-restos-du-coeur-de-montreuil-2388',Bien-être,Coiffure
Restos du Coeur - Centre dactivités de Montreuil,'https://soliguide.fr/fr/fiche/les-restos-du-coeur-de-montreuil-2388',Accompagnement à l'emploi,Accompagnement à l’emploi
Restos du Coeur - Centre dactivités de Sevran,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-sevran-2389',Colis alimentaire,Épicerie sociale et solidaire
Association Speranza,'https://soliguide.fr/fr/fiche/association-speranza-le-blanc-mesnil-2404',Épicerie sociale et solidaire,
Boutique Coup de Main - Pantin,'https://soliguide.fr/fr/fiche/boutique-coup-de-main-pantin-2454',Magasin solidaire,Boutique Solidaire
Boutique Coup de Main - Pantin,'https://soliguide.fr/fr/fiche/boutique-coup-de-main-pantin-2454',Insertion par l'activité économique,Accompagnement à l’emploi
Boutique Coup de Main - Bagnolet,'https://soliguide.fr/fr/fiche/boutique-coup-de-main-bagnolet-2455',Vêtements,
Boutique Coup de Main - Bagnolet,'https://soliguide.fr/fr/fiche/boutique-coup-de-main-bagnolet-2455',Magasin solidaire,Boutique Solidaire
Boutique Coup de Main - Bagnolet,'https://soliguide.fr/fr/fiche/boutique-coup-de-main-bagnolet-2455',Insertion par l'activité économique,Accompagnement à l’emploi
Habitat-Cité,'https://soliguide.fr/fr/fiche/permanence-acces-aux-droits-pour-les-russophones-pantin-2648',Permanence juridique,Accompagnement social
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Accompagnement à l'emploi,Accompagnement à l’emploi
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Bien-être,Activités diverses
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Ordinateur,Atelier numérique
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Colis alimentaire,Épicerie sociale et solidaire
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Activités diverses,
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Activités diverses,nutrition
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Activités diverses,Point d'information et d’orientation
Association Ikambere « La Maison Accueillante »,'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661',Activités diverses,
SPADA 93,'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666',Accompagnement social,
SPADA 93,'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666',Domiciliation,
SPADA 93,'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666',Conseil administratif,
SPADA 93,'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666',Dépistage,Point d'information et d’orientation
Mission Locale d'Aubervilliers / AISPJA,'https://soliguide.fr/fr/fiche/mission-locale-aubervilliers-2677',Accompagnement à l'emploi,
Mission Locale d'Aubervilliers / AISPJA,'https://soliguide.fr/fr/fiche/mission-locale-aubervilliers-2677',Ordinateur,
Mission Locale d'Aubervilliers / AISPJA,'https://soliguide.fr/fr/fiche/mission-locale-aubervilliers-2677',Conseil administratif,
Mission Locale La Lyr - Bobigny,'https://soliguide.fr/fr/fiche/mission-locale-mire-antenne-de-bobigny-2683',Accompagnement à l'emploi,
Mission Locale Paris Terres d'Envol - Antenne du Blanc-Mesnil,'https://soliguide.fr/fr/fiche/mission-locale-mire-antenne-du-blanc-mesnil-le-blanc-mesnil-2687',Accompagnement à l'emploi,
Mission Locale Paris Terres d'Envol - Antenne de Drancy,'https://soliguide.fr/fr/fiche/mission-locale-mire-antenne-de-drancy-2690',Accompagnement à l'emploi,Accompagnement à l’emploi
PASS - GHI Montfermeil,'https://soliguide.fr/fr/fiche/pass-du-ghi-montfermeil-2695',Accompagnement social,Accès aux droits de santé
La Place Santé,'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696',Généraliste,Médecin généraliste
La Place Santé,'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696',Gynécologie,Médecin généraliste
La Place Santé,'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696',Conseil administratif,Point d'information et d’orientation
Mission Locale Intercommunale - antenne de Bondy,'https://soliguide.fr/fr/fiche/mission-locale-bondy-2699',Accompagnement à l'emploi,
Mission Locale Intercommunale - antenne de Bondy,'https://soliguide.fr/fr/fiche/mission-locale-bondy-2699',Accompagnement social,
point-justice du Pré Saint-Gervais,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-le-pre-saint-gervais-2702',Conseil logement,Permanence juridique
Mission Locale CODE - antenne d'Épinay-sur-Seine,'https://soliguide.fr/fr/fiche/mission-locale-epinay-sur-seine-2706',Accompagnement à l'emploi,
Mission Locale CODE - antenne d'Épinay-sur-Seine,'https://soliguide.fr/fr/fiche/mission-locale-epinay-sur-seine-2706',Accompagnement social,
Mission Locale CODE- antenne de Saint-Ouen-sur-Seine,'https://soliguide.fr/fr/fiche/mission-locale-de-saint-ouen-2708',Accompagnement à l'emploi,
Mission Locale CODE- antenne de Saint-Ouen-sur-Seine,'https://soliguide.fr/fr/fiche/mission-locale-de-saint-ouen-2708',Accompagnement social,
PASS - Hôpital Avicenne,'https://soliguide.fr/fr/fiche/pass-de-hopital-avicenne-bobigny-2714',Généraliste,Médecin généraliste
Mission Locale CODE - antenne de Villetaneuse,'https://soliguide.fr/fr/fiche/mission-locale-de-villetaneuse-2715',Accompagnement à l'emploi,
Mission Locale CODE - antenne de Villetaneuse,'https://soliguide.fr/fr/fiche/mission-locale-de-villetaneuse-2715',Accompagnement social,
PASS - Hôpital Jean Verdier,'https://soliguide.fr/fr/fiche/pass-de-hopital-jean-verdier-paris-2744',Généraliste,Polyclinique
point-justice de Livry-Gargan,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-livry-gargan-2750',Conseil logement,Permanence juridique
point-justice de Livry-Gargan,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-livry-gargan-2750',Accompagnement social,Conseil administratif
point-justice de Livry-Gargan,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-livry-gargan-2750',Permanence juridique,Conseil administratif
Mission Locale de La Courneuve,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-de-la-courneuve-2751',Accompagnement à l'emploi,
PASS - CHI Robert Ballanger,'https://soliguide.fr/fr/fiche/chi-robert-ballanger-pass-aulnay-sous-bois-2758',Accompagnement social,
PASS - CHI Robert Ballanger,'https://soliguide.fr/fr/fiche/chi-robert-ballanger-pass-aulnay-sous-bois-2758',Généraliste,Médecin généraliste
Mission Locale de la Dhuys - Clichy-sous-Bois,'https://soliguide.fr/fr/fiche/mission-locale-de-la-dhuys-clichy-sous-bois-2759',Accompagnement à l'emploi,
point-justice de Drancy,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-drancy-2764',Permanence juridique,Aucun service adapté
point-justice de Drancy,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-drancy-2764',Écrivain public,
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Accompagnement social,Ouverture aux droits de santé
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Généraliste,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Dentaire,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Soins enfants,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Oto-rhino-laryngologie,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Ophtalmologie,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Stomatologie,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Rhumatologie,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Gastro-entérologie,Conseil logement
PASS - Centre hospitalier de Saint-Denis Delafontaine,'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766',Gynécologie,
Mission Locale Intercommunale - antenne de Montreuil,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-montreuil-2770',Accompagnement social,
Mission Locale Intercommunale - antenne de Montreuil,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-montreuil-2770',Accompagnement à l'emploi,
Maison des services publics de Montfermeil,'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772',Conseil logement,Accompagnement social
Maison des services publics de Montfermeil,'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772',Accompagnement social,Conseil administratif
Mission Locale de la Lyr - Pantin,'https://soliguide.fr/fr/fiche/mission-locale-de-la-lyr-pantin-2774',Accompagnement social,
Mission Locale de la Lyr - Pantin,'https://soliguide.fr/fr/fiche/mission-locale-de-la-lyr-pantin-2774',Accompagnement à l'emploi,
Mission Locale de la Marne aux Bois - Rosny,'https://soliguide.fr/fr/fiche/mission-locale-de-la-marne-aux-bois-rosny-rosny-sous-bois-2777',Accompagnement social,
Mission Locale de la Marne aux Bois - Rosny,'https://soliguide.fr/fr/fiche/mission-locale-de-la-marne-aux-bois-rosny-rosny-sous-bois-2777',Accompagnement à l'emploi,
point-justice de Montreuil Centre-Ville,'https://soliguide.fr/fr/fiche/point-acces-aux-droits-de-montreuil-centre-ville-2778',Permanence juridique,Aucun service adapté
Mission Locale CODE - antenne de Pierre?tte,'https://soliguide.fr/fr/fiche/mission-locale-objectif-emploi-antenne-de-pierre-tte-pierrefitte-sur-seine-2779',Accompagnement social,
Mission Locale CODE - antenne de Pierre?tte,'https://soliguide.fr/fr/fiche/mission-locale-objectif-emploi-antenne-de-pierre-tte-pierrefitte-sur-seine-2779',Accompagnement à l'emploi,
Mission Locale CODE - Saint-Denis (Siège),'https://soliguide.fr/fr/fiche/mission-locale-objectif-emploi-antenne-de-saint-denis-centre-ville-2784',Accompagnement social,
Mission Locale CODE - Saint-Denis (Siège),'https://soliguide.fr/fr/fiche/mission-locale-objectif-emploi-antenne-de-saint-denis-centre-ville-2784',Accompagnement à l'emploi,
Bureau d'accompagnement vers l'emploi,'https://soliguide.fr/fr/fiche/bureau-accompagnement-vers-emploi-la-courneuve-2786',Accompagnement à l'emploi,Accompagnement à l’emploi
Bureau d'accompagnement vers l'emploi,'https://soliguide.fr/fr/fiche/bureau-accompagnement-vers-emploi-la-courneuve-2786',Accompagnement à l'emploi,Aucun service adapté
Planning Familial 93,'https://soliguide.fr/fr/fiche/planning-familial-93-saint-denis-2787',Accompagnement social,Aucun service adapté
Planning Familial 93,'https://soliguide.fr/fr/fiche/planning-familial-93-saint-denis-2787',Généraliste,Consultation médicale
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789',Domiciliation,
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789',Laverie,
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789',Douche,
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789',Conseil administratif,Aide aux démarches
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789',Activités diverses,Aucun service adapté
CSAPA Docteur Pesqué,'https://soliguide.fr/fr/fiche/csapa-docteur-pesque-aubervilliers-2793',Addiction,
CSAPA Docteur Pesqué,'https://soliguide.fr/fr/fiche/csapa-docteur-pesque-aubervilliers-2793',Psychologie,Addiction
Secours Populaire - Comité de Drancy,'https://soliguide.fr/fr/fiche/secours-populaire-comite-de-drancy-2795',Conseil administratif,Accueil de jour
Secours Populaire - Comité de Drancy,'https://soliguide.fr/fr/fiche/secours-populaire-comite-de-drancy-2795',Vêtements,Aucun service adapté
CSAPA Balagny,'https://soliguide.fr/fr/fiche/csapa-balagny-aulnay-sous-bois-2796',Infirmerie,
CSAPA Balagny,'https://soliguide.fr/fr/fiche/csapa-balagny-aulnay-sous-bois-2796',Psychologie,
AIDES Saint-Denis,'https://soliguide.fr/fr/fiche/aides-saint-denis-2802',Dépistage,
Secours Populaire - Comité de La Courneuve,'https://soliguide.fr/fr/fiche/secours-populaire-comite-de-la-courneuve-aubervilliers-2805',Colis alimentaire,
CeGIDD Départemental de Bobigny,'https://soliguide.fr/fr/fiche/cegidd-bobigny-2807',Dépistage,Permanence juridique
CeGIDD Départemental de Bobigny,'https://soliguide.fr/fr/fiche/cegidd-bobigny-2807',Dépistage,Suivi Grossesse
CeGIDD Départemental de Bobigny,'https://soliguide.fr/fr/fiche/cegidd-bobigny-2807',Gynécologie,Psychologie
CeGIDD Départemental de Bobigny,'https://soliguide.fr/fr/fiche/cegidd-bobigny-2807',Psychologie,Conseil aux parents
Mission Locale Intercommunale - antenne de Sevran,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-sevran-2808',Accompagnement social,
Mission Locale Intercommunale - antenne de Sevran,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-sevran-2808',Accompagnement à l'emploi,
Secours Populaire - Comité des Lilas,'https://soliguide.fr/fr/fiche/secours-populaire-comite-de-les-lilas-2809',Colis alimentaire,
Secours Populaire - Comité des Lilas,'https://soliguide.fr/fr/fiche/secours-populaire-comite-de-les-lilas-2809',Conseil administratif,
Mission Locale Intercommunale - antenne de Villemomble,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-villemomble-2811',Accompagnement social,
Mission Locale Intercommunale - antenne de Villemomble,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-villemomble-2811',Accompagnement à l'emploi,
CSAPA Oppelia Cap 93,'https://soliguide.fr/fr/fiche/csapa-cap93-le-blanc-mesnil-2813',Généraliste,Médecin généraliste
CSAPA Oppelia Cap 93,'https://soliguide.fr/fr/fiche/csapa-cap93-le-blanc-mesnil-2813',Psychologie,
CSAPA Oppelia Cap 93,'https://soliguide.fr/fr/fiche/csapa-cap93-le-blanc-mesnil-2813',Addiction,
Mission Locale Intercommunale - antenne de Tremblay-en-France,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-tremblay-en-france-2814',Accompagnement social,
Mission Locale Intercommunale - antenne de Tremblay-en-France,'https://soliguide.fr/fr/fiche/mission-locale-intercommunale-antenne-de-tremblay-en-france-2814',Accompagnement à l'emploi,
ASKOLA,'https://soliguide.fr/fr/fiche/aset-93-saint-denis-2816',Accompagnement social,Conseil aux parents
Maison de Justice et du Droit d'Epinay-sur-Seine,'https://soliguide.fr/fr/fiche/la-maison-de-la-justice-et-du-droit-epinay-sur-seine-2822',Permanence juridique,Accompagnement social
Maison de Justice et du Droit de Clichy-sous-Bois,'https://soliguide.fr/fr/fiche/maison-de-la-justice-et-du-droit-de-clichy-sous-bois-montfermeil-2824',Permanence juridique,Aucun service adapté
Maison de Justice et du Droit de Clichy-sous-Bois,'https://soliguide.fr/fr/fiche/maison-de-la-justice-et-du-droit-de-clichy-sous-bois-montfermeil-2824',Permanence juridique,Aucun service adapté
Maison de Justice et du Droit de Clichy-sous-Bois,'https://soliguide.fr/fr/fiche/maison-de-la-justice-et-du-droit-de-clichy-sous-bois-montfermeil-2824',Permanence juridique,Aucun service adapté
Espace Tête à Tête,'https://soliguide.fr/fr/fiche/espace-tete-tete-rosny-sous-bois-2825',Musée,Aucun service adapté
Espace Tête à Tête,'https://soliguide.fr/fr/fiche/espace-tete-tete-rosny-sous-bois-2825',Activités diverses,
Espace Tête à Tête,'https://soliguide.fr/fr/fiche/espace-tete-tete-rosny-sous-bois-2825',Ordinateur,Aucun service adapté
Espace Tête à Tête,'https://soliguide.fr/fr/fiche/espace-tete-tete-rosny-sous-bois-2825',Bibliothèque,Aucun service adapté
Centre de Soins d'Accompagnement et de Prévention en Addictologie (CSAPA) -  Le Chat,'https://soliguide.fr/fr/fiche/csapa-le-chat-saint-denis-2827',Accompagnement social,
Association Femmes Relais Médiatrices Interculturelles,'https://soliguide.fr/fr/fiche/association-femmes-relais-mediatrices-interculturelles-bobigny-2828',Cours de français,Conseil administratif
Association Femmes Relais Médiatrices Interculturelles,'https://soliguide.fr/fr/fiche/association-femmes-relais-mediatrices-interculturelles-bobigny-2828',Accompagnement à l'emploi,Accompagnement à l’emploi
