place_name,texte_fautif,explication
CSAPA Docteur Pesqué,Les consultations ont lieu au CMS sur rendez vous uniquement,erreur d'orthographe : 'rendez vous' devrait être 'rendez-vous'
CSAPA Docteur Pesqué,Des consultations sont également ouvertes à l’entourage,manque de précision : il serait préférable de préciser 'à l'entourage des personnes concernées' ou similaire
Secours Populaire - Comité de Drancy,,
CSAPA Balagny,,
AIDES Saint-Denis,par rapport à la consommation de produits psycho-actif,accord de genre : produits psychoactifs
AIDES Saint-Denis,des tests rapides du VIH et de l'hépatites C,accord de genre : des tests rapides du VIH et de l'hépatite C
AIDES Saint-Denis,Sans RDV tous les Mercredi,accord de genre : Sans RDV tous les mercredis
AIDES Bobigny,des actions prévention,Manque de l'article défini ou de la préposition 'de' avant 'prévention'
AIDES Bobigny,la consommation des produits (drogues),"Utilisation non conventionnelle de parenthèses pour ajouter une explication, préférer 'la consommation de drogues'"
AIDES Bobigny,les préservatifs (interne et externe),"Utilisation non conventionnelle de parenthèses pour ajouter une explication, préférer 'les préservatifs internes et externes'"
AIDES Bobigny,le matériel de réductions des risques,"Erreur d'accord de pluriel, préférer 'le matériel de réduction des risques'"
AIDES Bobigny,"des auto-prélèvements anaux, vaginaux ou oraux","Pas d'erreur, mais il serait préférable de préciser 'des auto-prélèvements anaux, vaginaux ou oraux pour détecter les infections' pour plus de clarté"
AIDES Bobigny,Les permanences d'accueil de santé sexuelle sont tous les mercredis de 14h00-19h30,Préférer 'Les permanences d'accueil de santé sexuelle ont lieu tous les mercredis de 14h00 à 19h30' pour plus de clarté
AIDES Bobigny,"On parle sexualité, santé sexuelle et comment réduire ses prises de risques","Préférer 'Nous discutons de la sexualité, de la santé sexuelle et de la façon de réduire les prises de risques' pour plus de clarté et de formalité"
Secours Populaire - Comité de La Courneuve,,
Point d'Accès au Droit de Noisy-le-Sec,,
CeGIDD Départemental de Bobigny,,
Mission Locale Intercommunale - antenne de Sevran,,
Secours Populaire - Comité des Lilas,,
Mission Locale Intercommunale - antenne de Villemomble,,
Boutique alimentaire Coup de pouce,,
CSAPA Oppelia Cap 93,Le CSAPA Oppelia Cap 93 accueillent,accord sujet-verbe : 'accueille' au lieu de 'accueillent'
CSAPA Oppelia Cap 93,dans le temps de présence de la secrétaire,"expression peu claire, peut être remplacée par 'durant les heures de présence de la secrétaire' ou 'lorsque la secrétaire est présente'"
Mission Locale Intercommunale - antenne de Tremblay-en-France,,
ASKOLA,vivant en dans,erreur de répétition du mot 'en'
ASKOLA,des actions d'éducation : préparation scolaire dans les dispositifs “Passerelle” des camions-école;,"manque de cohésion entre les éléments de la phrase, une virgule ou un point pourrait améliorer la lisibilité"
ASKOLA,des actions de médiation scolaire : sensibilisation; accompagnement pour les inscriptions scolaires et l'entrée à l'école;,"même remarque que précédemment, un point ou une virgule pourrait améliorer la lisibilité"
ASKOLA,"des actions de plaidoyer : avec un collectif de mères d'élèves concernées, améliorer la prise en compte des besoins par les politiques publiques, défendre le droit à l'école et combattre les obstacles à la scolarisation","même remarque que précédemment, un point ou une virgule pourrait améliorer la lisibilité"
Maison de Justice et du Droit d'Epinay-sur-Seine,,
Maison de Justice et du Droit de Clichy-sous-Bois,,
Espace Tête à Tête,les adolescents et les jeunes adultes de la Seine-Saint-Denis,manque de préposition 'de' ou 'du' avant 'la Seine-Saint-Denis' pour indiquer la provenance
Espace Tête à Tête,les violences,manque de l'article défini 'les' avant 'violences' pour préciser le type de violences
Espace Tête à Tête,des problématiques associée,"accord de genre, 'associées' au lieu de 'associée' pour correspondre au pluriel 'problématiques'"
Espace Tête à Tête,Orienter et accompagner,"manque de verbe conjugué, utiliser 'orienter' et 'accompagner' à la même conjugaison"
Espace Tête à Tête,ses conduites à risque,utiliser 'les' au lieu de 'ses' pour indiquer les conduites à risque en général
Centre de Soins d'Accompagnement et de Prévention en Addictologie (CSAPA) -  Le Chat,,
Association Femmes Relais Médiatrices Interculturelles,,
CeGIDD Hôpital André Grégoire - Montreuil,,
CeGIDD du Centre hospitalier de Saint-Denis,,
Secours Populaire - Comité de l'île Saint-Denis,,
CASITA Maison des adolescents,,
CASADO Maison des adolescents,,
CSAPA la Mosaïque,,
Secours Populaire - Comité de Livry Gargan,le lundi et le jeudi,"Répétition du article 'le' devant les deux jours de la semaine, il faudrait utiliser 'le' pour le premier jour et 'et le' pour le second jour ou utiliser 'les' pour les deux jours : 'Permanence d'accueil les lundi et jeudi' ou 'Permanence d'accueil le lundi et le jeudi' est acceptable mais 'Permanence d'accueil les lundi et jeudi' est plus courant"
Secours Catholique de Clichy-sous-Bois,,
Juris Secours Bobigny,écrivain public,"devrait être 'écrivain public' ou 'service d'écrivain public', mais dans ce contexte, il est plus probable que le terme approprié soit 'service d'écrivain public' ou simplement 'écrire des lettres et formulaires'"
Juris Secours Bobigny,la Maire annexe Racine,erreur d'accord : 'Maire' devrait être 'Mairie'
Juris Secours Bobigny,"toutes les 3 semaines, le vendredi de 10h à 12h, à la Mairie annexe Epstein","répétition : cette phrase est répétée trois fois avec des adresses différentes, mais la formulation est identique"
Juris Secours Bobigny,"toutes les 3 semaines, le vendredi de 10h à 12h, à la Mairie annexe Emile Aillaud",même erreur de répétition que ci-dessus
Juris Secours Bobigny,"toutes les 3 semaines, le vendredi de 10h à 12h, à la Maire annexe Racine",même erreur de répétition que ci-dessus
France Services de villetaneuse -Maison Commune-Espace Numerique,etat,orthographe : devrait être 'État'
France Services de villetaneuse -Maison Commune-Espace Numerique,les 9 partenaires de l'etat,précision : il faudrait préciser qui sont ces partenaires
France Services de villetaneuse -Maison Commune-Espace Numerique,"les agents France Services et , les conseillers Numérique",syntaxe : virgule non nécessaire après 'et'
France Services de villetaneuse -Maison Commune-Espace Numerique,conseillers Numérique,orthographe : devrait être 'conseillers numériques'
CAUP Montreuil,,
point-justice de Sevran,,
Secours Populaire - Comité de Montreuil,le lundi,"accord de l'article défini avec le jour de la semaine, devrait être 'les lundis' pour être cohérent avec le reste de la phrase"
Secours Populaire - Comité de Montreuil,LES INSCRIPTIONS ONT LIEU LES LUNDIS,"majuscules inutiles, devrait être 'Les inscriptions ont lieu les lundis' pour respecter les règles de typographie"
Mission Locale Noisy-le-Grand,,
"La Maison du droit et de la médiation ""Gisèle Halimi""",stanois,"erreur d'orthographe, devrait être 'stagiaires' ou plus probablement 'étudiants' ou 'personnes'"
"La Maison du droit et de la médiation ""Gisèle Halimi""",es,"erreur de syntaxe, mot superflu"
Accueil de jour Emmaüs alternatives,deux douches hommes et une douche femme,accord de genre : 'deux douches pour hommes' et 'une douche pour femmes'
Accueil de jour Emmaüs alternatives,accés PMR,orthographe : 'accès PMR'
Accueil de jour Emmaüs alternatives,un écrivain public,"orthographe : 'un écrivain public' est correct, mais il serait plus approprié de préciser son rôle, par exemple 'un écrivain public pour aider à la rédaction de documents'"
Accueil de jour Emmaüs alternatives,ouverture ou renouvellement de droits,"pas d'erreur détectée, mais il serait plus clair de préciser 'ouverture ou renouvellement de droits sociaux'"
Accueil de jour Emmaüs alternatives,L’accueil de jour répond aussi aux besoins de mise à l’abri des personnes sans domicile fixe du lundi au vendredi,pas d'erreur détectée
Neptune,,
Association EFOR,,
Secours Populaire - Comité de Noisy-le-Sec,,
Secours Populaire - Comité de Pantin,,
Centre Social Esperanto,,
Association des Femmes de la Boissière (AFB),,
Maison de Justice et du Droit de Pantin,,
Restos du Coeur - Centre d’activités du Blanc-Mesnil,,
CDPS de Saint-Denis Pleyel,mineur.e.s,"Utilisation incorrecte de la notation pour indiquer le genre, il faudrait utiliser 'mineur(e)s'"
CDPS de Saint-Denis Pleyel,déplacez,"Conjugaison incorrecte du verbe 'se déplacer', il faudrait utiliser 'déplacez' -> 'ne déplacez'"
CDPS de Saint-Denis Pleyel,VENIR SUR RDV,"Majuscules inutiles, il faudrait utiliser 'Venir sur RDV'"
CDPS de Saint-Denis Pleyel,RDV,"Abréviation non explicitée, il faudrait utiliser 'rendez-vous' ou expliquer l'abréviation"
Bibliothèque Elsa Triolet,,
ADEPT 93,"Créée en 1969, L’ADEPT",Il manque un article défini avant 'ADEPT' ou 'L’ADEPT' devrait être 'L'ADEPT' sans majuscule à 'ADEPT'
ADEPT 93,Les rendez-vous ont lieu tous les matins de 9h à 12h30,Il faudrait écrire '9 h' au lieu de '9h' pour respecter les règles d'écriture des heures
ADEPT 93,le vendredi toute la journée,"Il faudrait écrire 'le vendredi, toute la journée' pour améliorer la lisibilité de la phrase"
AFPAD,"JSON invalide: {
  ""erreurs"": [
    {""texte"": ""écrivains publics"", ""explication"": ""erreur d'orthographe, devrait être 'écrivains publics' -> 'écrivain public'""},
    {""texte"": ""déclinent toutes autour d'un axe central, faire du lien pour créer du sens"", ""explication"": ""erreur de syntaxe, manque de cohésion entre les phrases""},
    {""texte"": ""nous accueillons du lundi au vendredi les personnes ayant des problématiques juridiques ou administratives pour les aider et/ou les orienter dans leurs démarches"", ""explication"": ""erreur de ponctuation, manque de virgule après 'vendredi'""},
    {""texte"": ""Pôle parentalité: soutien à la parentalité, groupe de parole, ateliers autour de cette problématique"", ""explication"": ""erreur de syntaxe, manque de virgule après 'parentalité'""},
    {""texte"": ""accueil des élèves temporairement exclus ou décrocheurs des collèges environnants (dispositif ""fil continu"")"", ""explication"": ""erreur de typographie, guillemets non nécessaires""},
    {""texte"": ""stages pour les élèves de troisième afin qu'ils rencontrent des professionnels de la justice, de la police et du droit"", ""explication"": ""erreur de syntaxe, manque de virgule après 'troisième'""},
    {""texte"": ""permanences aux commissariats de Stains pour prendre en charge des mains-courantes liées aux troubles de voisinage"", ""explication"": ""erreur d'orthographe, 'mains-courantes' -> 'main courante'""},
    {""texte"": ""L'AFPAD qui existe depuis près de vingt ans a su créer tout un réseau de partenariats au sein de la ville et de ses communes limitrophes (services municipaux, services territoriaux et nationaux…)"", ""explication"": ""erreur de ponctuation, point de suspension non nécessaire""}
  ]
}",
Bibliothèque Nelson Mandela,,
Bibliothèque Jules Verne,L'inscription permet aussi d'emprunter des documents..,Répétition de point
Bibliothèque Jules Verne,La Bibliothèque propose également des Ateliers de Conversation en Français une fois par mois,Manque de majuscule à 'français'
Bibliothèque Jules Verne,"Pour s'inscrire et emprunter des documents munissez-vous d’une pièce d’identité, d’un justificatif de domicile et d’une autorisation parentale pour les moins de 18 ans.",Répétition d'information déjà donnée
Le Kiosque,,
CDPS de Montreuil,,
Amicale du Nid - Césaria Evora: Accueil de jour Saint-Denis,,
Espace Culturel Maurice Utrillo,,
Centre social André Malraux - Annexe Mauriac,L'annexe est reliée au  Centre Social André Malraux  .,"Répétition inutile du nom du centre, il aurait été plus logique de simplement dire 'L'annexe est reliée au centre.'"
Centre Social André Malraux,,
Espace Famille - Espace Jacques Prévert,,
Centre Socioculturel des Hauts de Gagny,,
Centre Socioculturel des Epinettes,,
Centre Social et Culturel Anne Frank,,
Secours Populaire - Comité de Tremblay en France,des  permanences,"accord de déterminant : 'des' devrait être remplacé par 'des' mais il manque un article défini pour 'permanences', ce qui donne 'des permanences' qui est correct mais il y a un espace inutile entre 'des' et 'permanences'"
Secours Populaire - Comité de Tremblay en France,des  colis,"même erreur qu'au dessus, il y a un espace inutile entre 'des' et 'colis'"
Secours Populaire - Comité de Tremblay en France,"Le comité de Tremblay en France, propose",virgule de trop après 'France'
Centre Guy Toﬀoletti,,
Centre Social et Culturel Pablo Neruda,,
Centre Social et Culturel la Fosse aux Fraises,,
Centre Social et Culturel les Coutures,,
Centre Social Grand Air - Espace 40,toutes les semaines,devrait être 'toute la semaine' ou 'chaque semaine' pour une meilleure formulation
Centre Social Grand Air - Espace 40,La centre social Grand Air,accord de genre : 'Le centre social Grand Air'
Centre Social Grand Air - Espace 40,le centre ferme à 18 h,manque de point après le 'h' : 'le centre ferme à 18h.' ou 'le centre ferme à 18 heures'
Centre Social Grand Air - Espace 40,Il n'est pas ouvert le samedi matin,"formulation un peu abrupte, pourrait être reformulée en 'Nous sommes fermés le samedi matin' pour plus de clarté"
Centre Social Grand Air - Antenne  Jeunesse Bel Pêche,péri-scolaire,devrait être 'péri-scolaire'
Centre Social Grand Air - Antenne  Jeunesse Bel Pêche,créations artistique,devrait être 'créations artistiques'
Centre Social Grand Air - Antenne  Jeunesse Bel Pêche,de 14h à 18h,"manque un 0 pour les heures, devrait être 'de 14h00 à 18h00'"
Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois,confédération syndicale des familles,"l'acronyme CSF n'est pas explicité correctement, il faudrait peut-être préciser que CSF signifie 'Confédération Syndicale des Familles' ou donner le nom complet de l'organisation"
Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois,en temps scolaire,"le terme 'en temps scolaire' est ambigu, il faudrait préciser si les activités ont lieu pendant les heures de classe ou en dehors de celles-ci, par exemple 'pendant l'année scolaire' ou 'hors période scolaire'"
Confédération syndicale des familles (CSF) Section d'Aulnay-sous-Bois,il est préférable d'appeler la CSF au 06 88 45 44 88,"le numéro de téléphone semble être incorrect car il commence par 06 qui est un indicatif de téléphone mobile, mais il comporte 11 chiffres au lieu de 10, il faudrait vérifier le numéro de téléphone"
Divers Cités Cultures (D2C),,
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis I,,
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis II,Agir pour l’insertion professionnelle et social,accord de genre : 'sociale'
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis II,Accompagner à l’emploi un large public de demandeurs d’emploi ou de formatio,orthographe : 'formation'
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis II,Favoriser l’autonomie personnelle et social,accord de genre : 'sociale'
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis II,avec des formateurs référent,orthographe : 'référents'
Formation Insertion pour le développement et l'emploi (FIDE) - Saint-Denis II,Rechercher des alternatives à l’exclusion en favorisant le lien par l’économie solidaire,aucune erreur détectée dans ce fragment
Accueil de jour la Maison de la Solidarité,,
Secours Catholique  de Rosny-sous-Bois,,
Maison de  Justice et du Droit d'Aubervilliers,la structures,accord de genre : 'la structure' au lieu de 'la structures'
Maison de  Justice et du Droit d'Aubervilliers,Des activités judiciaires pénales (audience pénale par exemple) et civiles (audition par le juge des enfants par exemple) peuvent s’y dérouler.,pas d'erreur détectée dans cette phrase mais il manque un article avant 'activités' pour plus de clarté : 'Des activités judiciaires...' pourrait devenir 'Certaines activités judiciaires...'
Maison de  Justice et du Droit d'Aubervilliers,"En plus des horaires indiqués, la structures est ouverte l'après-midi du premier vendredi du mois.",accord de genre : 'la structure' au lieu de 'la structures'
La Cimade Permanence juridique (droit des étrangers),permanence,devrait être 'une permanence' pour l'accord de genre
La Cimade Permanence juridique (droit des étrangers),le mardi  à partir de 8h,préférez 'le mardi à partir de 8 heures' pour une formulation plus complète et lisible
La Cimade Permanence juridique (droit des étrangers),Inscription sur place au plus tôt avant 9h30,préférez 'Inscription sur place dès 9h30' ou 'Inscription sur place à partir de 9h30' pour plus de clarté
Association d'Alphabétisation du Foyer Pinel (Bourse du Travail),,
CCAS de Le Pré Saint-Gervais,,
Maison de quartier Franc Moisin - Bel Air - Stade de France,,
Maison de quartier Edmond Michelet,,
Maison de quartier Marcel Paul,,
Maison de quartier Rougemont,,
Caisse Primaire Assurance Maladie (CPAM) - agence de Sevran,,
Maison de quartier des Quatre-Chemins - antenne Vaillant,ouvert à tous qui favorise,accord de verbe : 'favorisent' au lieu de 'favorise'
Maison de quartier des Quatre-Chemins - antenne Vaillant,en fonction de votre quotient familial,"précision : 'en fonction de votre quotient familial, si applicable' ou 'selon votre quotient familial' pour plus de clarté"
Maison de quartier des Quatre-Chemins - antenne Vaillant,"Les permanences qu'elle accueille (écrivain public, MRAP) sont gratuites et n'ont pas besoin d'inscription","précision : 'Les permanences qu'elle accueille, comme l'écrivain public et le MRAP, sont gratuites et ne nécessitent pas d'inscription' pour plus de clarté"
Maison des Femmes Thérèse Clerc,,
Restos du Coeur - Centre d’activités de Bagnolet,,
Permanence RESF Bondy,,
Maison de Justice et du Droit de La Courneuve,,
Secours Catholique de Montreuil,,
Solidarité Enfant SIDA - Bobigny,détaillante,"erreur d'orthographe, devrait être 'détaillant' pour s'accorder avec 'la situation'"
Solidarité Enfant SIDA - Bobigny,ci-dessous,"pas d'erreur en soi, mais il manque la liste des services proposés après cette phrase"
Médiation Culture et Vie,,
Plateforme Réussite,Sur participation financiere,"Manque de détails ou de formulation claire sur la participation financière, probablement 'Sur la participation financière' ou une phrase plus complète"
Plateforme Réussite,La Plateforme Réussite se fixe pour objectif de,Utilisation de 'se fixe pour objectif de' qui pourrait être simplifié en 'a pour objectif'
Plateforme Réussite,d'évaluer la progression,"Manque de précision sur qui évalue la progression, probablement 'd'évaluer ensemble la progression' ou 'de permettre à l'individu d'évaluer sa progression'"
Plateforme Réussite,en vue d'aider les personnes à réaliser un projet de formation qui s'inscrit dans une démarche d'insertion ou d'évolution sociale ou professionnelle,"Phrase longue et complexe, pourrait être simplifiée pour améliorer la clarté"
LE POLE - La Courneuve,"l’Évaluation, l’Orientation et le Suivi","manque de cohérence dans l'utilisation des majuscules, devrait être 'l'évaluation, l'orientation et le suivi'"
LE POLE - La Courneuve,dans leur insertion professionnelle (PLIE Plaine Saint Denis),"manque d'espace après la parenthèse ouverte, devrait être 'dans leur insertion professionnelle (PLIE Plaine Saint Denis) '"
LE POLE - La Courneuve,Préparation au DILF des personnes non ou peu scolarisées. Préparation au DELF A1 des personnes scolarisées de façon signiﬁcative dans leur langue d’origine.,"manque de cohérence dans l'utilisation des minuscules et des majuscules, devrait être 'préparation au DILF... et préparation au DELF'"
LE POLE - La Courneuve,préparation au DELF A1 des personnes non ou peu scolarisées titulaires du DILF ou de niveau équivalent.,"manque de majuscule au début de la phrase, devrait être 'Préparation au DELF A1...'"
RAPID,Pierreﬁttoise,erreur de caractère spécial (ﬁ au lieu de fi)
RAPID,RAPID,"majuscules inutiles, devrait être 'Rapid' ou 'la RAPID' si c'est un acronyme"
RAPID,des cours de français de tous niveaux,manque de conjonction de coordination pour relier les deux propositions
RAPID,"qui emploie des salariés en insertion, et cuisine","conjonction de coordination 'et' inappropriée, proposition trop longue et peu claire"
Centre Social SFM Montreuil,,
SFM AD (Solidarite Formation Mobilisation Accueil et développement) Stains I,,
Solidarité et Jalons pour le travail - Bobigny,en reprise d’activitée,"erreur d'orthographe, devrait être 'en reprise d'activité'"
Solidarité et Jalons pour le travail - Bobigny,bénéficiaire,"erreur d'accord, devrait être 'bénéficiaires' pour s'accorder avec 'Demandeurs d’emploi'"
Solidarité et Jalons pour le travail - Bobigny,sous-mains de justice,"erreur d'expression, devrait être 'sous main de justice' ou plus probablement 'sous main de justice' n'est pas l'expression appropriée, peut-être 'en situation de détention' ou 'sous contrôle judiciaire'"
Solidarité et Jalons pour le travail - Bobigny,primo-arrivants,"erreur d'orthographe, devrait être 'primo-arrivants' n'est pas un mot couramment utilisé, peut-être 'personnes récemment arrivées' ou 'nouveaux arrivants'"
Solidarité et Jalons pour le travail - Bobigny,CUI-CAE,"erreur d'abréviation, devrait être expliqué ou remplacé par l'expression complète 'Contrat Unique d'Insertion - Contrat d'Accompagnement dans l'Emploi'"
Upromi - Rosny-sous-Bois,,
La Marmite,,
La Boutique Solidarité de Gagny,L’ accueil de jour,Manque de trait d'union : L'accueil de jour
La Boutique Solidarité de Gagny,toute personne adulte souffrant de l’exclusion,Préposition inutile : toute personne adulte en situation d'exclusion
La Boutique Solidarité de Gagny,"des  petits-déjeuners, douches, laveries et colis alimentaires","Répétition de 'des' : des petits-déjeuners, douches, laveries et des colis alimentaires"
La Boutique Solidarité de Gagny,tous les matins de la semaine ainsi qu'un  suivi social et administratif,Manque de cohérence : tous les matins de la semaine pour des petits-déjeuners... et tous les après-midis pour un suivi...
La Boutique Solidarité de Gagny,Des  consultations de médecin et de psychologue,Répétition de 'des' : des consultations de médecin et des consultations de psychologue
La Boutique Solidarité de Gagny,le matin ouverture tout public,"Manque de préposition : le matin, ouverture au public"
La Boutique Solidarité de Gagny,les après midis,Manque de trait d'union : les après-midis
Espace Henri Grouès Abbé Pierre,,
Association familiale des gens du voyage d’Ile de France (AFGDVIF),,
Restos du Coeur - Centre d’activités de Bobigny,,
Restos du Coeur - Centre d’activités de Clichy-sous-Bois,,
Restos du Coeur - Centre d’activités de Neuilly-Plaisance,,
Restos du Coeur - Centre d’activités de Rosny sous Bois,,
Emmaüs Neuilly-Plaisance,,
Emmaüs en Ville,,
