place_name,new_description
Restos du Coeur - Centre d’activités d'Aulnay-sous-Bois,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Bondy,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Drancy,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de La Courneuve,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités du Pré-Saint-Gervais,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités des Lilas,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Noisy-le-Grand,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Noisy-le-Sec,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Pantin,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Pierrefitte,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Saint-Denis,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Saint-Ouen,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Stains,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Tremblay-en-France,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Villepinte,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Le Pôle Social,"Le Pôle Social d'Epinay-sur-Seine est un endroit où les personnes en difficulté peuvent trouver de l'aide et des informations. Il propose une épicerie sociale, un point d'hygiène et des permanences pour aider les gens. Vous pouvez également trouver des distributions de nourriture et des conseils pour les personnes ayant des problèmes d'addiction. Pour obtenir de l'aide, vous pouvez contacter l'association EDVO au 01 34 28 64 50 pour prendre un rendez-vous."
Restos du Coeur - Centre d’activités du Bourget,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Neuilly-sur-Marne,"Les centres d'activités offrent de l'aide en cas d'urgence et pour aider les gens à s'intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour trouver un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, ainsi que de la nourriture gratuite."
Restos du Coeur - Centre d’activités de Montreuil,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Restos du Coeur - Centre d’activités de Sevran,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
Association Speranza,L'association Speranza a une épicerie sociale qui est ouverte du lundi au vendredi. Seuls les membres de l'association peuvent y accéder.
Boutique Coup de Main - Pantin,"La Boutique Coup de Main de Pantin est une boutique ouverte à tous. Elle vend des meubles, des vêtements et de la vaisselle à des prix bas. Les objets sont récupérés et revendus pour aider les gens à se réinsérer dans la société."
Boutique Coup de Main - Bagnolet,"La Boutique Coup de Main de Bagnolet est une boutique pour tous. Elle vend des meubles, des vêtements et de la vaisselle à bas prix. Les objets sont récupérés et revendus pour aider les gens à se réinsérer dans la société."
Habitat-Cité,L'association Habitat-Cité offre des consultations juridiques sur rendez-vous pour aider les gens sur différents sujets. Elle propose également des cours de français pour les étrangers. L'association a des employés qui parlent russe et roumain pour aider les personnes qui ont besoin de ces langues.
Association Ikambere « La Maison Accueillante »,"Ikambere est un centre qui aide les femmes vulnérables atteintes du VIH. Il leur permet de devenir autonomes en les aidant à trouver un travail et à s'intégrer dans la société. Le centre offre une prise en charge complète aux femmes qui ont des difficultés en raison de la vie et de la maladie. Il les accompagne pour qu'elles puissent prendre leur vie en main. Les activités sont réservées aux femmes touchées par le VIH. Le centre est ouvert jusqu'à 18h pour les accueillir, mais les professionnels et les services sont disponibles jusqu'à 17h."
SPADA 93,"La Plateforme d'Accueil des Demandeurs d'Asile (SPADA) est un lieu important pour les personnes qui veulent demander l'asile en France. Pour commencer la procédure, il faut passer par la SPADA pour obtenir un rendez-vous avec la préfecture et l'OFII. La SPADA est un endroit où vous pouvez obtenir des informations, des conseils et une orientation pour accéder à vos droits. Si vous êtes nouveau à Paris ou dans sa région et que vous souhaitez demander l'asile, vous devez appeler le numéro de téléphone gratuit 01 42 50 09 00 pour commencer la procédure."
Mission Locale d'Aubervilliers / AISPJA,"Pour vous inscrire, il vous faut une pièce d'identité valide et un justificatif de domicile. Si vous êtes hébergé ou si votre adresse n'est pas sur votre pièce d'identité, vous aurez besoin d'un justificatif de domicile récent (moins de 3 mois) comme une quittance de loyer ou une facture EDF, et éventuellement d'un certificat d'hébergement."
Mission Locale La Lyr - Bobigny,"La Mission locale à Bobigny aide les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aide à trouver votre chemin. La Mission locale vous aide à <b>définir votre projet professionnel</b>, à <b>rechercher un emploi ou une formation</b>, à <b>travailler à l'étranger</b> et à <b>comprendre vos droits</b> en matière de santé, de logement, de garde d'enfants, etc. Un conseiller est là pour vous aider à chaque étape."
SOS Victimes 93 - Point d'accès aux droits,"Sos Victimes 93 aide les personnes victimes de crimes ou d'accidents, comme la violence, les escroqueries ou les accidents de voiture. Ils proposent des consultations juridiques et un soutien psychologique à leur siège et dans environ 20 endroits du département. Pour rencontrer quelqu'un, il faut prendre rendez-vous au téléphone, sauf pour la consultation juridique au Tribunal Judiciaire de Bobigny, qui est ouvert du lundi au vendredi de 13h à 17h30."
Mission Locale Paris Terres d'Envol - Antenne du Blanc-Mesnil,"La Mission locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale vous aide à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits à la santé, au logement, à la garde d'enfants, etc. Vous pouvez venir du lundi au vendredi, mais les conseillers ne sont présents que du lundi au jeudi."
Mission Locale Paris Terres d'Envol - Antenne de Drancy,"La Mission locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale vous aide à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
PASS - GHI Montfermeil,"La PASS est un service qui aide les personnes qui ont besoin de soins médicaux mais qui n'y ont pas accès. Cela peut être dû à une absence de protection sociale, à des conditions de vie difficiles ou à des problèmes financiers. Toute personne qui se présente à la PASS avec un problème de santé et une difficulté sociale peut bénéficier de ce service. Les difficultés sociales peuvent inclure : l'isolement, le manque de logement stable, des problèmes de couverture sociale ou des difficultés pour accéder aux soins. Les personnes qui utilisent la PASS peuvent avoir accès à : des consultations avec des médecins spécialisés, un accompagnement social pour les aider à ouvrir leurs droits à l'assurance maladie, la possibilité de recevoir des médicaments sur ordonnance et l'accès aux équipements médicaux de l'hôpital comme les prises de sang."
La Place Santé,"La Coopérative Communautaire Santé Bien-Être aide les habitants du quartier à rester en bonne santé. Elle propose des actions pour améliorer la santé et aide les gens à faire leurs démarches pour avoir accès à leurs droits. La coopérative gère un centre de santé appelé La Place Santé. Ce centre compte des médecins, des personnes qui aident pour les démarches de santé, une infirmière et une psychologue. Actuellement, le service de médecine générale est plein et ne prend pas de nouveaux patients, sauf si vous habitez dans le quartier Franc-Moisins/Bel-Air. Pour prendre rendez-vous avec un médecin, appelez le 01.48.09.09.17. Pour les activités en groupe, appelez le 01.48.09.09.01 ou demandez à l'accueil."
Mission Locale Intercommunale - antenne de Bondy,"La Mission locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale vous aide à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits à la santé, au logement, à la garde d'enfants, etc. Elle accueille les jeunes de Bondy."
point-justice du Pré Saint-Gervais,"Le point-justice du Pré Saint-Gervais est un service juridique qui aide les gens à comprendre leurs droits et obligations. Il s'agit d'un lieu d'accueil et d'information sur les droits dans différents domaines comme la famille, le travail, la justice, etc. Ce service est ouvert à tous, quel que soit son revenu, son âge, son sexe ou sa nationalité. Il permet de : connaître ses droits et devoirs, être informé sur la façon de les faire valoir, être orienté vers les bonnes structures, être aidé pour les démarches, être informé sur la médiation et être mis en contact avec un conciliateur de justice. Les consultations avec des professionnels du droit ou des associations sont gratuites, confidentielles et accessibles à tous sur rendez-vous."
Mission Locale CODE - antenne d'Épinay-sur-Seine,"La Mission Locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission Locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
Mission Locale CODE- antenne de Saint-Ouen-sur-Seine,"La Mission Locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission Locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
PASS - Hôpital Avicenne,"La PASS de l'Hôpital Avicenne est un service qui aide les personnes qui ont besoin de soins médicaux mais qui n'y ont pas accès. Cela peut être dû à l'absence de protection sociale, à des conditions de vie difficiles ou à des problèmes financiers. La PASS offre des consultations médicales, des traitements, des examens médicaux et un accompagnement social pour aider les personnes à obtenir leurs droits."
Mission Locale CODE - antenne de Villetaneuse,"La Mission Locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission Locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits à la santé, au logement, à la garde d'enfants, etc. Les demandeurs d'asile et réfugiés ayant le droit de travailler en France ou dans l'Union Européenne sont également les bienvenus."
PASS - Hôpital Jean Verdier,"La PASS de l'Hôpital Jean Verdier est un service qui aide les personnes qui ont besoin de soins médicaux mais qui n'y ont pas accès. Cela peut être dû à un manque de protection sociale, à des conditions de vie difficiles ou à des problèmes financiers. Le service propose un accueil sans condition et un accompagnement pour ces personnes. Après avoir examiné la situation de chaque personne, la PASS peut offrir des consultations médicales générales. Il est possible de prendre rendez-vous pour des consultations du lundi au vendredi. Pour plus d'informations, vous pouvez contacter le service social au 01 48 02 62 88."
point-justice de Livry-Gargan,"Le point-justice de Livry-Gargan est un service qui aide les gens avec des problèmes juridiques. Il est ouvert à tous, peu importe son revenu, son adresse, son âge, son sexe ou sa nationalité. Ce service permet de : connaître ses droits et devoirs, obtenir des informations pour les faire valoir, être orienté vers les bonnes structures, recevoir de l'aide pour faire des démarches, apprendre sur la médiation et rencontrer un conciliateur de justice. Les professionnels du droit et les associations offrent des permanences gratuites et confidentielles, accessibles sur rendez-vous après avoir discuté avec l'agent d'accueil du point-justice."
Mission Locale de La Courneuve,"Pour vous inscrire, il vous faut une pièce d'identité valide et un justificatif de domicile. Si vous êtes hébergé ou si votre adresse n'est pas sur votre pièce d'identité, vous aurez besoin d'un justificatif de domicile récent (moins de 3 mois) comme une quittance de loyer ou une facture EDF, ainsi que d'un certificat d'hébergement si nécessaire."
PASS - CHI Robert Ballanger,"La PASS du CHI Robert Ballanger offre un accueil sans condition et un accompagnement aux personnes qui ont besoin de soins médicaux mais qui n'y ont pas accès. Cela peut être dû à l'absence de protection sociale, à des conditions de vie difficiles ou à des problèmes financiers. Pour bénéficier de la PASS, il faut avoir un problème de santé urgent et au moins l'un des critères suivants : avoir perdu ses liens sociaux, ne pas avoir de logement stable, avoir des problèmes de couverture sociale, avoir des difficultés pour accéder aux soins. Les personnes qui bénéficient de la PASS ont accès à des consultations de médecins spécialisés, à un accompagnement social, à une aide pour ouvrir leurs droits à l'assurance maladie, à des médicaments sur ordonnance et à des prises de sang."
Mission Locale de la Dhuys - Clichy-sous-Bois,"La Mission locale de la Dhuys est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, découvrir comment travailler à l'étranger, comprendre vos droits en matière de santé, de logement, de garde d'enfants, etc. Pour commencer, il vous faudra apporter : une pièce d'identité, votre carte Vitale ou votre numéro de Sécurité sociale, et un CV si vous en avez un."
point-justice de Drancy,"Le point-justice de Drancy est un service juridique qui aide les gens à comprendre leurs droits et obligations. Il s'agit d'un lieu d'accueil et d'information où vous pouvez obtenir des conseils sur différents domaines de droit, tels que la famille, le travail, l'immigration, etc. Ce service est ouvert à tous, quel que soit votre revenu, votre âge, votre sexe ou votre nationalité. Vous pouvez y obtenir des informations sur vos droits et devoirs, comment les faire valoir, et être orienté vers les structures adaptées pour vous aider. Les professionnels du droit et les associations qui y travaillent offrent des permanences gratuites et confidentielles, accessibles sur rendez-vous après une analyse de votre situation. Vous pouvez également obtenir des informations sur la médiation et être mis en relation avec un conciliateur de justice."
PASS - Centre hospitalier de Saint-Denis Delafontaine,"La PASS du Centre Hospitalier de Saint-Denis est un service qui aide les personnes qui ont besoin de soins médicaux mais qui n'y ont pas accès. Cela peut être dû à un manque de protection sociale, à des conditions de vie difficiles ou à des problèmes financiers. La PASS propose des consultations avec des médecins généralistes et spécialistes, des dentistes et des sages-femmes. Pour utiliser ce service, il faut : <b>prendre rendez-vous</b> au 01 42 35 61 40, <b>se présenter deux heures avant le rendez-vous</b> au service social pour faire les démarches nécessaires, puis <b>se présenter à la consultation</b> à l'heure prévue."
Mission Locale Intercommunale - antenne de Montreuil,"La Mission locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale vous aide à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
Maison des services publics de Montfermeil,"Un lieu pour vous aider et vous informer. Il simplifie vos démarches avec les services publics. Vous pouvez y trouver des services comme la Mairie, la Sous-Préfecture, la CPAM et la CAF. Des associations comme l'ARIFA, le CDAD, l'ADIL 93 et le CIDFF 93 y sont également présentes pour vous aider."
Mission Locale de la Lyr - Pantin,"La Mission locale de la Lyr à Pantin est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale de la Lyr peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc. Vous pouvez trouver la Mission Locale de la Lyr à l'intérieur de la Maison de l'Emploi de Pantin."
Mission Locale de la Marne aux Bois - Rosny,"La Mission locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc. Pour venir, il vous suffit d'apporter une pièce d'identité ou votre Carte de Séjour."
point-justice de Montreuil Centre-Ville,"Le point-justice de Montreuil Centre-Ville est un service qui aide les gens avec des problèmes juridiques. Vous pouvez y aller avant, pendant ou après un procès. C'est un endroit où vous pouvez obtenir des informations sur vos droits et obligations dans différents domaines comme la famille, le travail ou l'immigration. Le point-justice est ouvert à tous, quel que soit votre revenu, votre âge ou votre nationalité. Vous pouvez y aller pour : connaître vos droits et devoirs, obtenir des informations sur la façon de les faire respecter, être orienté vers les bonnes personnes pour vous aider, obtenir de l'aide pour faire des démarches, apprendre à résoudre les conflits de manière pacifique, rencontrer un conciliateur de justice. Les professionnels du droit et les associations qui y travaillent offrent des consultations gratuites et confidentielles. Il faut généralement prendre rendez-vous avec l'agent d'accueil pour rencontrer un professionnel."
Mission Locale CODE - antenne de Pierreﬁtte,"La Mission Locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission Locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
Mission Locale CODE - Saint-Denis (Siège),"La Mission Locale est là pour aider les jeunes de 16 à 25 ans qui ont quitté l'école. Un conseiller vous aidera à trouver votre chemin. La Mission Locale peut vous aider à : définir votre projet professionnel, trouver un emploi ou une formation, partir travailler à l'étranger, connaître vos droits en matière de santé, de logement, de garde d'enfants, etc."
Bureau d'accompagnement vers l'emploi,"Le BAIE est un service qui aide les femmes de Seine-Saint-Denis à trouver un emploi ou une formation. Il est agréé par le Ministère des Droits des Femmes. Le BAIE propose plusieurs services : élaborer un projet professionnel, rechercher une formation, valoriser son expérience en France ou à l'étranger, créer des outils pour trouver un emploi et simuler des entretiens. Il faut prendre rendez-vous pour utiliser ces services."
Planning Familial 93,"Le M.F.P.F 93 est une association qui aide les femmes. Elle existe depuis 1972 et veut que les femmes puissent décider librement de leur vie sexuelle. L'association défend le droit à l'avortement et à la contraception. Elle lutte contre les violences faites aux femmes, comme les violences dans les couples, les violences en famille et les violences sexuelles. L'association propose un accompagnement pour les femmes victimes de violences, des formations et des informations. Tout est confidentiel. Elle offre aussi des consultations pour l'avortement et la contraception. Les types de violences contre lesquelles elle lutte incluent les violences au sein du couple, les violences en famille, les viols, les agressions sexuelles et l'inceste."
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,"<p>Lieu d'Accueil et d'Orientation pour les femmes victimes de violences conjugales de la Seine-Saint-Denis, avec ou sans enfants. Nous proposons : accueil spécialisé, écoute, conseil, soutien, information et aide juridique. Vous pouvez venir nous voir sans rendez-vous le lundi de 17h à 20h, et les mardi, mercredi et jeudi de 10h à 13h, avec ou sans vos enfants. Les après-midi de 14h à 17h30 sont réservés aux rendez-vous individuels. Le vendredi, nous sommes ouverts pour les rendez-vous individuels et les ateliers collectifs sur inscription. Appelez-nous au 0148486227 pour une écoute confidentielle et anonyme, du lundi au vendredi de 14h à 17h.</p>"
CSAPA Docteur Pesqué,"Le CSAPA Docteur Pesqué est un centre qui aide les personnes ayant des problèmes d'addiction. Il est situé dans le Centre municipal de santé d'Aubervilliers. Le centre accueille des personnes de tous âges et les aide pour toutes sortes de problèmes d'addiction, avec ou sans drogue. Les proches des personnes ayant des problèmes d'addiction peuvent également venir consulter. Pour consulter, il faut prendre rendez-vous au Centre municipal de santé."
Secours Populaire - Comité de Drancy,"Le Secours populaire français aide les personnes dans le besoin. Il leur offre de la nourriture, des vêtements, un toit et l'accès aux soins médicaux. Il les aide également à trouver un travail et à accéder à la culture. Vous pouvez les contacter au 9 cité la Muette, ils sont ouverts mercredi et jeudi."
