place_description_problem;service_description_problem;full_url;service_name;place_name
email;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-nelson-mandela-40678';Permanence juridique;Centre socio-culturel Nelson Mandela
email;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-nelson-mandela-40678';Activités diverses;Centre socio-culturel Nelson Mandela
email;;'https://soliguide.fr/fr/fiche/espace-josephine-baker-42557';Activités diverses;Espace Joséphine Baker
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Cours de français;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Atelier numérique;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Permanence juridique;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Activités sportives;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Espace famille;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Soutien scolaire;Maison du Centre MC2
email;;'https://soliguide.fr/fr/fiche/maison-du-centre-mc2-33893';Activités diverses;Maison du Centre MC2
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Écrivain public;Centre socio-culturel Félix Merlin
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Écrivain public;Centre socio-culturel Félix Merlin
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Permanence juridique;Centre socio-culturel Félix Merlin
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Ordinateur;Centre socio-culturel Félix Merlin
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Cours de français;Centre socio-culturel Félix Merlin
téléphone;;'https://soliguide.fr/fr/fiche/centre-socio-culturel-felix-merlin-40683';Atelier numérique;Centre socio-culturel Félix Merlin
email;;'https://soliguide.fr/fr/fiche/espace-josephine-baker-42557';Permanence juridique;Espace Joséphine Baker
;téléphone;'https://soliguide.fr/fr/fiche/ccas-de-rosny-sous-bois-5061';Activités diverses;CCAS de Rosny-sous-Bois
;téléphone;'https://soliguide.fr/fr/fiche/centre-social-andre-malraux-villepinte-2940';Psychologie;Centre Social André Malraux
;téléphone;'https://soliguide.fr/fr/fiche/centre-social-andre-malraux-annexe-mauriac-villepinte-2939';Atelier numérique;Centre social André Malraux - Annexe Mauriac
;téléphone;'https://soliguide.fr/fr/fiche/juris-secours-epinay-epinay-sur-seine-4799';Permanence juridique;Juris Secours Epinay-sur-Seine
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Coffre-fort numérique;SPADA 93
téléphone, email;;'https://soliguide.fr/fr/fiche/permanence-resf-pantin-copie-51156';Permanence juridique;Permanence RESF Pantin - Maison du Projet et de l'Habitat
